A. Lev Tolstoi B. Fiodor Dostoievski C. Alexandr Puskin
A. Agatha Christie B. Arthur Conan Doyle C. Raymond Chandler
A. Antoine de Saint-Exupéry B. Virginia Woolf C. Jane Austen
A. Victor Hugo B. Emile Zola C. Gustave Flaubert
A. Homer B. Virgil C. Ovid
A. Liviu Rebreanu B. Mircea Eliade C. Camil Petrescu
A. J.R.R. Tolkien B. C.S. Lewis C. J.K. Rowling
A. Mircea Eliade B. Camil Petrescu C. Liviu Rebreanu
A. William Shakespeare B. Christopher Marlowe C. Ben Jonson
A. Liviu Rebreanu B. Ion Creanga C. Mihail Sadoveanu
